vc/V,BCD-CAP7,,,,,,,
,CAP7#1/pf,0.1V/pf,CAP7#2/pf,0.1V/pf,CAP7#1/pf,0.1V/pf,CAP7#2/pf,0.1V/pf
-3.3,193.35,0.04,193.68,0.04,,,,
-3.2,193.31,0.05,193.64,0.1,,,,
-3.1,193.26,0.21,193.54,0.17,,,,
-3,193.05,0.16,193.37,0.21,,,,
-2.9,192.89,0.26,193.16,0.22,,,,
-2.8,192.63,0.2,192.94,0.25,,,,
-2.7,192.43,0.25,192.69,0.23,,,,
-2.6,192.18,0.24,192.46,0.25,,,,
-2.5,191.94,0.31,192.21,0.31,,,,
-2.4,191.63,0.26,191.9,0.3,,,,
-2.3,191.37,0.34,191.6,0.32,,,,
-2.2,191.03,0.38,191.28,0.39,,,,
-2.1,190.65,0.39,190.89,0.33,,,,
-2,190.26,0.38,190.56,0.45,,,,
-1.9,189.88,0.49,190.11,0.47,,,,
-1.8,189.39,0.45,189.64,0.51,,,,
-1.7,188.94,0.62,189.13,0.53,,,,
-1.6,188.32,0.5 ,188.6,0.62,,,,
-1.5,187.9 ,0.8 ,187.98,0.64,,,,
-1.4,187.08,0.6,187.34,0.73,,,,
-1.3,186.48,0.88,186.61,0.83,,,,
-1.2,185.6,0.77,185.78,0.91,,,,
-1.1,184.83,1.12,184.87,0.98,,,,
-1,183.71,1.01,183.89,1.14,,,,
-0.9,182.7,1.4,182.75,1.26,,,,
-0.8,181.3,1.1,181.49,1.39,,,,
-0.7,180.2,1.74,180.1,1.61,,,,
-0.6,178.46,1.66,178.49,1.79,,,,
-0.5,176.8,2.27,176.7,2.08,,,,
-0.4,174.53,1.95,174.62,2.35,,,,
-0.3,172.58,2.9,172.27,2.61,,,,
-0.2,169.68,2.79,169.66,3.02,,,,
-0.1,166.89,3.84,166.64,3.44,,,,
0,163.05,8.54,163.2,8.68,,,,
0.1,154.51,10.64,154.52,10.58,,,,
0.2,143.87,11.62,143.94,11.7,,,,
0.3,132.25,11.49,132.24,11.64,,,,
0.4,120.76,10.21,120.6,10.14,,,,
0.5,110.55,8.07,110.46,8.07,,,,
0.6,102.48,6.64,102.39,6.493,,,,
0.7,95.84,5.25,95.897,5.314,,,,
0.8,90.59,4.305,90.583,4.376,,,,
0.9,86.285,3.735,86.207,3.711,,,,
1,82.55,3.168,82.496,3.207,,,,
1.1,79.382,2.856,79.289,2.762,,,,
1.2,76.526,2.458,76.527,2.531,,,,
1.3,74.068,2.233,73.996,2.236,,,,
1.4,71.835,2.057,71.76,1.976,,,,
1.5,69.778,1.844,69.784,1.843,,,,
1.6,67.934,1.656,67.941,1.718,,,,
1.7,66.278,1.5 ,66.223,1.513,,,,
1.8,64.7 ,1.4 ,64.71,1.431,,,,
1.9,63.303,1.34,63.279,1.342,,,,
2,61.963,1.259,61.937,1.244,,,,
2.1,60.704,1.156,60.693,1.181,,,,
2.2,59.548,1.086,59.512,1.079,,,,
2.3,58.462,1.022,58.433,1.021,,,,
2.4,57.44,0.962,57.412,0.975,,,,
2.5,56.478,0.938,56.437,0.937,,,,
2.6,55.54,0.865,55.5,0.845,,,,
2.7,54.675,0.803,54.655,0.834,,,,
2.8,53.872,0.782,53.821,0.775,,,,
2.9,53.09,0.732,53.046,0.715,,,,
3,52.358,0.715,52.331,0.721,,,,
3.1,51.643,0.323,51.61,0.38,,,,
3.2,51.32,0.27,51.23,0.295,,,,
3.3,51.05,,50.935,,,,,
